OBJECTID,ID305B,ATTAINS_HUC4,CYCLE,WATER_NAME,CATEGORY,TYPE,SIZE,UNIT,CAUSE_NAME,ACTN_TYPE_CODE,TMDL_ID,TMDL_NAME,ESTABLISHMENT_DATE,COMMENT,HUC4CODE,HUCNAME,BASIN,DEQ_ADM,WEB_LINK
1914,ID17050201SW003_08,17050201,2022,"Brownlee Reservoir, Lower (Porters Flat to Brownlee Dam)",CAT 4A,"LAKE, FRESHWATER",13193.87,Acres,DDE (DICHLORODIPHENYLDICHLOROETHYLENE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1925,ID17050201SW004_08,17050201,2022,"Brownlee Reservoir, Upper (Weiser to Porters Flat)",CAT 4A,"LAKE, FRESHWATER",1081.27,Acres,DDE (DICHLORODIPHENYLDICHLOROETHYLENE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1830,ID17050115SW001_08,17050115,2022,Snake River - Boise River to Weiser River,CAT 4A,RIVER,75.57,Miles,DDE (DICHLORODIPHENYLDICHLOROETHYLENE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050115,Middle Snake-Payette,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1679,ID17050103SW001_07a,17050103,2022,Snake River - State line to Boise River,CAT 4A,RIVER,4.19,Miles,DDE (DICHLORODIPHENYLDICHLOROETHYLENE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050103,Middle Snake-Succor,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1912,ID17050201SW002_08,17050201,2022,Oxbow Reservoir,CAT 4A,"LAKE, FRESHWATER",1106.23,Acres,DDT (DICHLORODIPHENYLTRICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1832,ID17050115SW001_08,17050115,2022,Snake River - Boise River to Weiser River,CAT 4A,RIVER,75.57,Miles,DDT (DICHLORODIPHENYLTRICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050115,Middle Snake-Payette,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1926,ID17050201SW004_08,17050201,2022,"Brownlee Reservoir, Upper (Weiser to Porters Flat)",CAT 4A,"LAKE, FRESHWATER",1081.27,Acres,DDT (DICHLORODIPHENYLTRICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1915,ID17050201SW003_08,17050201,2022,"Brownlee Reservoir, Lower (Porters Flat to Brownlee Dam)",CAT 4A,"LAKE, FRESHWATER",13193.87,Acres,DDT (DICHLORODIPHENYLTRICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1675,ID17050103SW001_07a,17050103,2022,Snake River - State line to Boise River,CAT 4A,RIVER,4.19,Miles,DDT (DICHLORODIPHENYLTRICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050103,Middle Snake-Succor,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1908,ID17050201SW002_08,17050201,2022,Oxbow Reservoir,CAT 4A,"LAKE, FRESHWATER",1106.23,Acres,DIELDRIN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1916,ID17050201SW003_08,17050201,2022,"Brownlee Reservoir, Lower (Porters Flat to Brownlee Dam)",CAT 4A,"LAKE, FRESHWATER",13193.87,Acres,DIELDRIN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1678,ID17050103SW001_07a,17050103,2022,Snake River - State line to Boise River,CAT 4A,RIVER,4.19,Miles,DIELDRIN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050103,Middle Snake-Succor,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1928,ID17050201SW004_08,17050201,2022,"Brownlee Reservoir, Upper (Weiser to Porters Flat)",CAT 4A,"LAKE, FRESHWATER",1081.27,Acres,DIELDRIN,TMDL,10745,SNAKE RIVER HELLS CANYON TMDL,9-Sep-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/10745
1831,ID17050115SW001_08,17050115,2022,Snake River - Boise River to Weiser River,CAT 4A,RIVER,75.57,Miles,DIELDRIN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050115,Middle Snake-Payette,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1904,ID17050201SW001_08,17050201,2022,Hells Canyon Reservoir,CAT 4A,"LAKE, FRESHWATER",2510.21,Acres,DISSOLVED GAS SUPERSATURATION,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1960,ID17060101SL003_08,17060101,2022,Snake River - Hells Canyon Dam to Sheep Creek,CAT 4A,RIVER,17.93,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17060101,Hells Canyon,Salmon,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
240,ID17010213PN001_08,17010213,2022,Clark Fork River Delta - Mosquito Creek to Pend Oreille Lake,CAT 4A,RIVER,11,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
1909,ID17050201SW002_08,17050201,2022,Oxbow Reservoir,CAT 4A,"LAKE, FRESHWATER",1106.23,Acres,DISSOLVED GAS SUPERSATURATION,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1957,ID17060101SL002_08,17060101,2022,Snake River - Sheep Creek to Wolf Creek,CAT 4A,RIVER,26.28,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17060101,Hells Canyon,Salmon,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1955,ID17060101SL001_08,17060101,2022,Snake River - Wolf Creek to Salmon River,CAT 4A,RIVER,14.77,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17060101,Hells Canyon,Salmon,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
258,ID17010213PN005_08,17010213,2022,Clark Fork River - Idaho/Montana border to Cabinet Gorge Dam,CAT 4A,RIVER,0.55,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
249,ID17010213PN003_08,17010213,2022,Clark Fork River - Cabinet Gorge Dam to Mosquito Creek,CAT 4A,RIVER,7.45,Miles,DISSOLVED GAS SUPERSATURATION,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
297,ID17010214PN013L_0L,17010214,2022,Cocolalla Lake,CAT 4A,"LAKE, FRESHWATER",803.74,Acres,DISSOLVED OXYGEN,TMDL,2002,CLARK FORK/PEND OREILLE BASIN,2-Apr-01,,17010214,Pend Oreille Lake,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/2002
1145,ID17040211SK006_03,17040211,2022,Beaverdam Creek - source to mouth,CAT 4A,RIVER,6.32,Miles,DISSOLVED OXYGEN,TMDL,10680,GOOSE CREEK TMDL,25-Jul-04,,17040211,Goose,Upper Snake,TRO,https://mywaterway.epa.gov/plan-summary/IDEQ/10680
1649,ID17050101SW001_07L,17050101,2022,CJ Strike Reservoir (excluding Bruneau arm),CAT 4A,"LAKE, FRESHWATER",4764.97,Acres,DISSOLVED OXYGEN,TMDL,30361,KING HILL - CJ STRIKE RESERVOIR SUBBASIN ASSESSMENT AND TMDL,21-Jun-06,,17050101,C. J. Strike Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/30361
1929,ID17050201SW004_08,17050201,2022,"Brownlee Reservoir, Upper (Weiser to Porters Flat)",CAT 4A,"LAKE, FRESHWATER",1081.27,Acres,DISSOLVED OXYGEN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
2289,ID17060305CL003_04,17060305,2022,Cottonwood Creek - source to Cottonwood Creek waterfall,CAT 4A,RIVER,5.4,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2305,ID17060305CL007_03,17060305,2022,Shebang Creek - source to mouth,CAT 4A,RIVER,7.72,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2329,ID17060305CL010_02,17060305,2022,Threemile Creek - source to unnamed tributary,CAT 4A,RIVER,36.08,Miles,DISSOLVED OXYGEN,TMDL,11089,"CLEARWATER RIVER, SOUTH FORK (NEZ PERCE RESERVATION LANDS) TMDL",22-Jul-04,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/11089
1834,ID17050115SW001_08,17050115,2022,Snake River - Boise River to Weiser River,CAT 4A,RIVER,75.57,Miles,DISSOLVED OXYGEN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050115,Middle Snake-Payette,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1658,ID17050102SW001L_0L,17050102,2022,CJ Strike Reservoir - Bruneau Arm,CAT 4A,"LAKE, FRESHWATER",2052.27,Acres,DISSOLVED OXYGEN,TMDL,30361,KING HILL - CJ STRIKE RESERVOIR SUBBASIN ASSESSMENT AND TMDL,21-Jun-06,Assessment based on 2006 Snake River-King Hill TMDL.  HS,17050102,Bruneau,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/30361
1666,ID17050102SW008_04,17050102,2022,Sugar Valley Wash - 4th order,CAT 4A,RIVER,5.45,Miles,DISSOLVED OXYGEN,TMDL,1998,BRUNEAU RIVER SUBBASIN,13-Mar-01,,17050102,Bruneau,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/1998
1644,ID17050101SW001_02,17050101,2022,CJ Strike Reservoir & Dry Creek - 1st and 2nd order,CAT 4A,RIVER,126.73,Miles,DISSOLVED OXYGEN,TMDL,30361,KING HILL - CJ STRIKE RESERVOIR SUBBASIN ASSESSMENT AND TMDL,21-Jun-06,,17050101,C. J. Strike Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/30361
2292,ID17060305CL006_02,17060305,2022,Stockney Creek - source to mouth,CAT 4A,RIVER,21.98,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2324,ID17060305CL010_02,17060305,2022,Threemile Creek - source to unnamed tributary,CAT 4A,RIVER,36.08,Miles,DISSOLVED OXYGEN,TMDL,10730,CLEARWATER RIVER (SOUTH FORK) TMDL,22-Jul-04,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/10730
1917,ID17050201SW003_08,17050201,2022,"Brownlee Reservoir, Lower (Porters Flat to Brownlee Dam)",CAT 4A,"LAKE, FRESHWATER",13193.87,Acres,DISSOLVED OXYGEN,TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
2277,ID17060305CL003_02,17060305,2022,Cottonwood Creek - source to Cottonwood Creek waterfall,CAT 4A,RIVER,30.32,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2301,ID17060305CL007_02,17060305,2022,Shebang Creek - source to mouth,CAT 4A,RIVER,34.31,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
1645,ID17050101SW001_07,17050101,2022,Snake River - Browns Creek to CJ Strike Reservoir,CAT 4A,RIVER,11.15,Miles,DISSOLVED OXYGEN,TMDL,30361,KING HILL - CJ STRIKE RESERVOIR SUBBASIN ASSESSMENT AND TMDL,21-Jun-06,,17050101,C. J. Strike Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/30361
2317,ID17060305CL008_03,17060305,2022,South Fork Cottonwood Creek - 3rd order segment,CAT 4A,RIVER,5.02,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2286,ID17060305CL003_03,17060305,2022,Cottonwood Creek - source to Cottonwood Creek waterfall,CAT 4A,RIVER,0.39,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2310,ID17060305CL008_02,17060305,2022,South Fork Cottonwood Creek - source to mouth,CAT 4A,RIVER,24.97,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2318,ID17060305CL009_02,17060305,2022,Long Haul Creek - source to mouth,CAT 4A,RIVER,14.98,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2296,ID17060305CL006_03,17060305,2022,Stockney Creek - source to mouth,CAT 4A,RIVER,6.44,Miles,DISSOLVED OXYGEN,TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
1648,ID17050101SW001_07L,17050101,2022,CJ Strike Reservoir (excluding Bruneau arm),CAT 4A,"LAKE, FRESHWATER",4764.97,Acres,DISSOLVED OXYGEN,TMDL,30361,KING HILL - CJ STRIKE RESERVOIR SUBBASIN ASSESSMENT AND TMDL,21-Jun-06,,17050102,Bruneau,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/30361
1680,ID17050103SW002_03,17050103,2022,Sage Creek - 3rd order,CAT 4A,RIVER,7.76,Miles,ESCHERICHIA COLI (E. COLI),TMDL,9711,SNAKE RIVER -- MIDDLE/SUCCOR CREEK,5-Jan-04,,17050103,Middle Snake-Succor,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9711
2256,ID17060209SL058_02,17060209,2022,Grave Creek - headwaters to unnamed tributary,CAT 4A,RIVER,27.43,Miles,ESCHERICHIA COLI (E. COLI),TMDL,38235,LOWER SALMON RIVER AND HELLS CANYON TRIBUTARIES TMDLS,9-Feb-10,,17060209,Lower Salmon,Salmon,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/38235
2136,ID17060204SL001_06,17060204,2022,Lemhi River - Kenney Creek to mouth,CAT 4A,RIVER,24.65,Miles,ESCHERICHIA COLI (E. COLI),TMDL,673,LEMHI,14-Mar-00,,17060204,Lemhi,Salmon,IRO,https://mywaterway.epa.gov/plan-summary/IDEQ/673
1968,ID17060101SL028_03,17060101,2022,Divide Creek - 3rd Order ,CAT 4A,RIVER,11.04,Miles,ESCHERICHIA COLI (E. COLI),TMDL,38235,LOWER SALMON RIVER AND HELLS CANYON TRIBUTARIES TMDLS,9-Feb-10,"E. coli results: 11/100 ml, and 12/100ml. (two samples collected in 8/00).  SCR is fully supporting.     Based on GIS analysis, as per WBAG II, Section 7.3, recreation uses appear to be fully supporting. ",17060101,Hells Canyon,Salmon,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/38235
1944,ID17050201SW008_02,17050201,2022,Hog Creek - 1st & 2nd order,CAT 4A,RIVER,34.41,Miles,ESCHERICHIA COLI (E. COLI),TMDL,ID_Brown_2020,Brownlee Reservoir Subbasin – Weiser Flats  TMDL – Bacteria,15-Jul-21,"07/19/2021 (RE): Escherichia coli load allocations are provided in Section 5.4 of the 2021 Brownlee Reservoir Subbasin - Weiser Flats  Bacteria TMDL, which was approved by EPA on July 15, 2021. 03/31/2021 (EW): In May 2018 two sets of 5 adequately spaced out E. coli samples (geomeans) were taken. Geomean results were 948.9 MPN/100mL and 800.7 MPN/100mL, both above the criteria of 126 MPN/100mL. Secondary Contact Recreation will remain Not Supporting.",17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/ID_Brown_2020
2000,ID17060108CL005_02,17060108,2022,Paradise Creek - Urban boundary to Idaho/Washington border,CAT 4A,RIVER,11.41,Miles,ESCHERICHIA COLI (E. COLI),TMDL,67000,Revised Paradise Creek Bacteria TMDL,1-Nov-16,,17060108,Palouse,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/67000
2048,ID17060108CL015b_03,17060108,2022,"Hatter Creek - T40N, R04W, Sec. 3 to mouth",CAT 4A,RIVER,5.23,Miles,ESCHERICHIA COLI (E. COLI),TMDL,11288,PALOUSE RIVER SUBBASIN TMDL,14-Mar-05,,17060108,Palouse,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/11288
1800,ID17050114SW003d_02,17050114,2022,Indian Creek above Reservoir - 1st and 2nd order,CAT 4A,RIVER,62.17,Miles,ESCHERICHIA COLI (E. COLI),TMDL,64560,Lower Boise River TMDL,18-Sep-15,,17050114,Lower Boise,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/64560
1816,ID17050114SW007_04,17050114,2022,Fifteenmile Creek - 4th order (Fivemile Creek to mouth),CAT 4A,RIVER,3.73,Miles,ESCHERICHIA COLI (E. COLI),TMDL,64560,Lower Boise River TMDL,18-Sep-15,,17050114,Lower Boise,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/64560
176,ID16020309BR002_02a,16020309,2022,Sheep Creek,CAT 4A,RIVER,13.38,Miles,ESCHERICHIA COLI (E. COLI),TMDL,ID_Curle_Jul-02-19,Curlew Valley Subbasin TMDL,2-Jul-19,"12/11/2019 (RE): E. coli load allocations are provided in section 6.4 of the Curlew Valley Subbasin Assessment and TMDLs, which was approved by EPA on July 2, 2019.",16020309,Curlew Valley,Bear River,PRO,https://mywaterway.epa.gov/plan-summary/IDEQ/ID_Curle_Jul-02-19
664,ID17040105SK006_04,17040105,2022,lower Stump Creek,CAT 4A,RIVER,10.43,Miles,ESCHERICHIA COLI (E. COLI),TMDL,68601,Salt River Bacteria TMDL,24-Jan-18,"7/18/17 (HH, JW): Secondary Contact Recreation impaired by E. coli based on exceedance of E. coli criteria documented by Wyoming Star Valley Conservation District (E. coli geomean = 277 cfu/100 mL, 85/2013-8/27/2013). See Salt River Subbasin Assessment and Total Maximun Daily Load for further details.",17040105,Salt,Upper Snake,PRO,https://mywaterway.epa.gov/plan-summary/IDEQ/68601
696,ID17040203SK007_03,17040203,2022,Conant Creek - Idaho/Wyoming border to mouth,CAT 4A,RIVER,19.42,Miles,ESCHERICHIA COLI (E. COLI),TMDL,39050,UPPER AND LOWER HENRY FORK TMDLS,17-Aug-10,"8/22/17 (TS, JW): Single E. coli samples collected 8/20/13, 8/25/14, and 8/18/15 had concentrations of 32.3, 29.5, and 56.3 cfu/100 mL, respectively. A geometric mean of five samples is needed to change support status from not supporting to fully supporting.This AU is targeted for further sampling.",17040203,Lower Henrys,Upper Snake,IRO,https://mywaterway.epa.gov/plan-summary/IDEQ/39050
